id,MW,cLogP,HBD,HBA,RotB,charge
CHEMBL155761,584.0980000000002,6.324900000000005,2,9,10,0
CHEMBL157084,477.9740000000001,4.7459000000000024,2,8,7,0
CHEMBL388978,466.5410000000003,4.354000000000003,2,6,2,0
CHEMBL340611,509.6300000000003,5.2309000000000045,1,5,3,1
CHEMBL338049,482.54000000000025,3.844900000000002,3,7,2,0
CHEMBL1907763,430.91100000000034,4.895100000000005,1,6,6,0
CHEMBL24137,446.9100000000004,4.275600000000004,1,7,8,0
CHEMBL1744349,479.3830000000003,5.627100000000006,1,6,8,0
CHEMBL2448067,467.37200000000036,5.461000000000006,1,6,8,0
CHEMBL1202477,540.8650000000005,4.721700000000006,1,7,8,0
CHEMBL1907944,475.36200000000036,5.004200000000005,1,6,6,0
CHEMBL1744347,496.4140000000004,4.612600000000006,1,7,8,0
CHEMBL286160,377.80300000000017,4.1997000000000035,1,6,7,0
CHEMBL2448066,483.37100000000027,5.022500000000004,2,7,6,0
CHEMBL1202478,523.8340000000004,5.7362000000000055,1,6,8,0
CHEMBL126384,457.3760000000004,4.055200000000002,2,7,8,0
CHEMBL129509,378.48000000000025,3.2110200000000013,2,7,7,0
CHEMBL126137,401.31200000000007,3.5287000000000015,1,6,6,0
CHEMBL128987,429.3220000000003,3.2750000000000012,2,7,6,0
CHEMBL435993,447.3370000000001,2.229399999999999,4,8,10,0
CHEMBL340898,359.43700000000007,3.775520000000002,2,7,7,0
CHEMBL338215,350.4700000000001,3.8305200000000026,2,6,8,0
CHEMBL340484,456.39200000000017,3.580300000000001,2,7,7,0
CHEMBL127058,461.3640000000001,2.6194999999999995,4,8,11,0
CHEMBL128467,424.2800000000001,2.8306000000000004,3,7,6,0
CHEMBL340700,404.2680000000001,2.3202999999999996,3,7,6,0
CHEMBL338114,410.2790000000001,3.9086,3,6,6,0
CHEMBL341319,374.2420000000001,2.9594000000000005,2,6,5,0
CHEMBL340508,331.177,2.8165000000000004,3,6,3,0
CHEMBL127041,360.21500000000003,2.9351000000000003,3,6,5,0
CHEMBL126791,424.30600000000015,4.229600000000001,2,7,7,0
CHEMBL54400,330.1890000000001,3.5726000000000013,2,5,3,0
CHEMBL128468,402.25200000000007,3.8076000000000016,3,6,7,0
CHEMBL341522,391.52300000000025,3.1262200000000018,2,7,7,0
CHEMBL339416,459.34800000000024,3.6777000000000024,2,7,7,0
CHEMBL92812,329.201,4.177600000000002,2,4,3,0
CHEMBL129825,415.3390000000001,4.284600000000003,2,6,8,0
CHEMBL420624,315.17400000000004,3.7181000000000015,2,4,2,0
CHEMBL129579,480.31900000000013,0.37869999999999987,7,10,9,0
CHEMBL126893,401.31200000000007,3.8945000000000016,2,6,7,0
CHEMBL127082,265.32,3.118520000000001,2,5,3,0
CHEMBL128759,404.2680000000001,2.3218999999999994,3,7,7,0
CHEMBL126372,390.2410000000001,2.2960000000000003,4,7,6,0
CHEMBL116853,478.35000000000025,4.124680000000002,2,6,5,0
CHEMBL53428,344.216,3.5969000000000015,1,5,3,0
CHEMBL125568,390.24100000000004,2.2959999999999994,4,7,6,0
CHEMBL129824,429.3660000000001,4.674700000000003,2,6,9,0
CHEMBL128432,387.2850000000001,3.5044000000000013,2,6,6,0
CHEMBL94061,426.3180000000001,4.192200000000002,2,5,6,0
CHEMBL340399,345.41,3.4545200000000014,3,6,6,0
CHEMBL52076,316.16200000000003,3.113100000000001,2,5,2,0
CHEMBL127611,494.3460000000001,0.40300000000000075,6,10,9,0
CHEMBL126623,443.34900000000033,3.6651000000000016,2,7,7,0
CHEMBL126903,388.225,3.051700000000001,2,6,5,0
CHEMBL127086,388.2250000000001,3.4175000000000013,3,6,6,0
CHEMBL338175,374.1980000000001,3.027400000000001,3,6,5,0
CHEMBL153525,339.1960000000001,4.617200000000001,2,3,2,0
CHEMBL152905,371.2630000000001,4.932800000000002,2,5,2,0
CHEMBL544867,372.83700000000005,5.226520000000003,1,6,3,0
CHEMBL542755,422.73500000000007,5.781000000000003,1,5,3,0
CHEMBL153206,369.2220000000001,4.625800000000003,2,4,3,0
CHEMBL346846,386.27400000000006,5.359200000000003,1,5,3,0
CHEMBL153739,399.31700000000006,5.416600000000003,1,5,3,0
CHEMBL553351,437.7060000000001,5.680600000000002,1,6,3,0
CHEMBL423224,339.1960000000001,4.568800000000001,2,3,2,0
CHEMBL347282,360.3640000000001,5.189100000000002,2,5,2,0
CHEMBL346863,395.3070000000001,4.415600000000002,2,7,2,0
CHEMBL415738,244.298,1.9328199999999995,3,5,5,0
CHEMBL329672,255.708,4.0268000000000015,1,3,2,0
CHEMBL169390,294.3580000000001,3.5012000000000016,2,5,2,0
CHEMBL153170,340.1840000000001,4.012200000000001,2,4,2,0
CHEMBL355982,306.18800000000005,4.197400000000001,1,4,2,0
CHEMBL544868,358.81000000000006,4.918100000000003,1,6,3,0
